season,week,away_team,home_team,spread,spread_favorite,spread_line,total,away_score,home_score,winner,game_date,source,away_team_win,home_field_advantage,division_game,conference_game,early_season,late_season,playoffs
2020,4,PHI,ARI,3.0,away,3.0,35.0,21,11,away,2020-09-04,sample_data,1,1,0,1,1,0,0
2020,4,GB,JAX,9.0,home,-9.0,42.5,23,32,home,2020-09-04,sample_data,0,1,0,0,1,0,0
2020,4,CLE,CHI,2.5,away,2.5,50.0,23,18,away,2020-09-04,sample_data,1,1,0,0,1,0,0
2020,4,LAC,DEN,9.0,home,-9.0,40.0,18,30,home,2020-09-04,sample_data,0,1,1,1,1,0,0
2020,4,ATL,LV,3.5,home,-3.5,49.0,27,32,home,2020-09-04,sample_data,0,1,0,0,1,0,0
2020,4,BAL,HOU,1.5,home,-1.5,35.0,21,17,away,2020-09-04,sample_data,1,1,0,1,1,0,0
2020,4,WAS,PIT,1.0,home,-1.0,41.5,17,9,away,2020-09-04,sample_data,1,1,0,0,1,0,0
2020,4,SF,TEN,4.0,home,-4.0,45.5,26,28,home,2020-09-04,sample_data,0,1,0,0,1,0,0
2020,4,IND,CAR,2.0,away,2.0,45.5,27,22,away,2020-09-04,sample_data,1,1,0,0,1,0,0
2020,4,SEA,TB,5.5,home,-5.5,37.5,26,28,home,2020-09-04,sample_data,0,1,0,1,1,0,0
2020,4,CIN,NYJ,3.5,home,-3.5,42.0,11,24,home,2020-09-04,sample_data,0,1,0,1,1,0,0
2020,4,NE,NYG,5.5,home,-5.5,46.5,11,20,home,2020-09-04,sample_data,0,1,0,0,1,0,0
2020,4,MIN,BUF,0.5,away,0.5,50.0,17,25,home,2020-09-04,sample_data,0,1,0,0,1,0,0
2020,4,NO,DET,3.5,away,3.5,40.5,21,9,away,2020-09-04,sample_data,1,1,0,1,1,0,0
2020,5,JAX,CAR,10.0,home,-10.0,42.0,24,25,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,5,DET,KC,15.5,home,-15.5,35.0,8,20,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,5,WAS,NE,3.5,home,-3.5,44.0,26,31,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,5,DEN,SF,0.5,away,0.5,36.0,32,23,away,2020-09-05,sample_data,1,1,0,0,0,0,0
2020,5,TB,LV,10.5,home,-10.5,47.0,25,15,away,2020-09-05,sample_data,1,1,0,0,0,0,0
2020,5,DAL,HOU,3.0,home,-3.0,43.0,23,25,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,5,NYG,BUF,2.5,away,2.5,45.0,29,28,away,2020-09-05,sample_data,1,1,0,0,0,0,0
2020,5,NYJ,CHI,4.5,home,-4.5,45.5,22,28,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,5,SEA,MIA,0.5,away,0.5,49.5,6,19,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,5,BAL,CLE,1.5,home,-1.5,46.5,29,17,away,2020-09-05,sample_data,1,1,1,1,0,0,0
2020,5,NO,PIT,1.5,home,-1.5,47.0,11,17,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,5,PHI,ARI,2.5,home,-2.5,45.0,26,32,home,2020-09-05,sample_data,0,1,0,1,0,0,0
2020,5,TEN,LAR,6.5,home,-6.5,38.0,22,31,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,5,IND,LAC,1.5,away,1.5,53.0,26,18,away,2020-09-05,sample_data,1,1,0,1,0,0,0
2020,5,GB,CIN,1.5,away,1.5,43.0,10,20,home,2020-09-05,sample_data,0,1,0,0,0,0,0
2020,6,JAX,NYG,0.5,away,0.5,39.5,24,33,home,2020-09-06,sample_data,0,1,0,0,0,0,0
2020,6,ATL,DAL,5.5,home,-5.5,41.0,26,29,home,2020-09-06,sample_data,0,1,0,1,0,0,0
2020,6,BUF,WAS,9.5,home,-9.5,48.5,24,29,home,2020-09-06,sample_data,0,1,0,0,0,0,0
2020,6,SEA,LAC,2.5,home,-2.5,43.0,31,30,away,2020-09-06,sample_data,1,1,0,0,0,0,0
2020,6,TB,NYJ,1.0,home,-1.0,51.5,17,15,away,2020-09-06,sample_data,1,1,0,0,0,0,0
2020,6,TEN,IND,4.0,home,-4.0,56.0,19,14,away,2020-09-06,sample_data,1,1,1,1,0,0,0
2020,6,PIT,MIA,6.5,home,-6.5,40.5,24,25,home,2020-09-06,sample_data,0,1,0,1,0,0,0
2020,6,NO,NE,4.5,home,-4.5,47.5,25,33,home,2020-09-06,sample_data,0,1,0,0,0,0,0
2020,6,ARI,DET,6.5,home,-6.5,46.5,8,19,home,2020-09-06,sample_data,0,1,0,1,0,0,0
2020,6,SF,PHI,6.0,home,-6.0,41.0,33,26,away,2020-09-06,sample_data,1,1,0,1,0,0,0
2020,6,HOU,LAR,9.0,home,-9.0,38.5,12,18,home,2020-09-06,sample_data,0,1,0,0,0,0,0
2020,6,CAR,KC,10.0,home,-10.0,52.0,14,18,home,2020-09-06,sample_data,0,1,0,0,0,0,0
2020,6,CHI,LV,9.0,home,-9.0,43.0,28,33,home,2020-09-06,sample_data,0,1,0,0,0,0,0
2020,6,BAL,CIN,2.5,home,-2.5,53.0,33,21,away,2020-09-06,sample_data,1,1,1,1,0,0,0
2020,6,GB,MIN,6.5,home,-6.5,47.0,22,31,home,2020-09-06,sample_data,0,1,1,1,0,0,0
2020,7,WAS,DEN,11.0,home,-11.0,38.0,24,32,home,2020-09-07,sample_data,0,1,0,0,0,0,0
2020,7,DET,CHI,0.5,away,0.5,50.5,34,21,away,2020-09-07,sample_data,1,1,1,1,0,0,0
2020,7,TEN,LV,0.5,home,-0.5,39.5,21,22,home,2020-09-07,sample_data,0,1,0,1,0,0,0
2020,7,DAL,NO,3.0,home,-3.0,37.0,22,31,home,2020-09-07,sample_data,0,1,0,1,0,0,0
2020,7,NYJ,PIT,2.5,home,-2.5,56.5,19,32,home,2020-09-07,sample_data,0,1,0,1,0,0,0
2020,7,GB,NE,0.0,pick,0.0,44.5,30,20,away,2020-09-07,sample_data,1,1,0,0,0,0,0
2020,7,JAX,BUF,4.0,home,-4.0,54.0,19,30,home,2020-09-07,sample_data,0,1,0,1,0,0,0
2020,7,NYG,LAR,0.5,away,0.5,44.5,29,27,away,2020-09-07,sample_data,1,1,0,1,0,0,0
2020,7,CAR,PHI,9.5,home,-9.5,35.0,9,21,home,2020-09-07,sample_data,0,1,0,1,0,0,0
2020,7,MIA,TB,2.0,away,2.0,54.5,29,27,away,2020-09-07,sample_data,1,1,0,0,0,0,0
2020,7,SEA,ATL,4.0,home,-4.0,39.5,16,24,home,2020-09-07,sample_data,0,1,0,1,0,0,0
2020,7,MIN,KC,1.0,home,-1.0,39.0,18,7,away,2020-09-07,sample_data,1,1,0,0,0,0,0
2020,7,SF,CLE,4.0,away,4.0,48.0,16,22,home,2020-09-07,sample_data,0,1,0,0,0,0,0
2020,7,ARI,LAC,0.5,home,-0.5,41.0,18,25,home,2020-09-07,sample_data,0,1,0,0,0,0,0
2020,7,HOU,IND,3.0,home,-3.0,50.0,31,25,away,2020-09-07,sample_data,1,1,1,1,0,0,0
2020,7,CIN,BAL,4.5,home,-4.5,49.5,19,27,home,2020-09-07,sample_data,0,1,1,1,0,0,0
2020,8,KC,NYG,8.0,home,-8.0,44.0,17,20,home,2020-09-08,sample_data,0,1,0,0,0,0,0
2020,8,BAL,MIN,0.0,pick,0.0,55.5,22,17,away,2020-09-08,sample_data,1,1,0,0,0,0,0
2020,8,PHI,TB,6.0,home,-6.0,44.5,18,19,home,2020-09-08,sample_data,0,1,0,1,0,0,0
2020,8,LAC,PIT,6.5,away,6.5,56.5,24,22,away,2020-09-08,sample_data,1,1,0,1,0,0,0
2020,8,CAR,SEA,14.0,home,-14.0,41.0,28,33,home,2020-09-08,sample_data,0,1,0,1,0,0,0
2020,8,CLE,NYJ,0.5,home,-0.5,45.0,24,13,away,2020-09-08,sample_data,1,1,0,1,0,0,0
2020,8,CHI,GB,0.5,home,-0.5,48.0,16,21,home,2020-09-08,sample_data,0,1,1,1,0,0,0
2020,8,TEN,NO,2.0,away,2.0,43.0,34,26,away,2020-09-08,sample_data,1,1,0,0,0,0,0
2020,8,DAL,ATL,10.5,home,-10.5,42.0,21,22,home,2020-09-08,sample_data,0,1,0,1,0,0,0
2020,8,ARI,SF,9.5,home,-9.5,46.5,25,30,home,2020-09-08,sample_data,0,1,1,1,0,0,0
2020,8,BUF,JAX,3.5,home,-3.5,49.0,19,22,home,2020-09-08,sample_data,0,1,0,1,0,0,0
2020,8,MIA,DEN,6.0,home,-6.0,46.5,12,23,home,2020-09-08,sample_data,0,1,0,1,0,0,0
2020,8,DET,CIN,0.5,home,-0.5,47.0,10,21,home,2020-09-08,sample_data,0,1,0,0,0,0,0
2020,8,NE,HOU,5.5,home,-5.5,42.5,31,27,away,2020-09-08,sample_data,1,1,0,1,0,0,0
2020,8,IND,LAR,12.5,home,-12.5,39.0,19,24,home,2020-09-08,sample_data,0,1,0,0,0,0,0
2020,8,LV,WAS,1.0,away,1.0,52.5,21,17,away,2020-09-08,sample_data,1,1,0,0,0,0,0
2020,9,ARI,BAL,2.5,away,2.5,53.5,30,19,away,2020-09-09,sample_data,1,1,0,0,0,0,0
2020,9,KC,CIN,1.5,away,1.5,59.0,15,27,home,2020-09-09,sample_data,0,1,0,1,0,0,0
2020,9,HOU,LV,7.5,home,-7.5,48.5,19,25,home,2020-09-09,sample_data,0,1,0,1,0,0,0
2020,9,PIT,NE,0.5,home,-0.5,42.0,17,11,away,2020-09-09,sample_data,1,1,0,1,0,0,0
2020,9,NO,NYG,12.5,home,-12.5,47.5,20,25,home,2020-09-09,sample_data,0,1,0,1,0,0,0
2020,9,NYJ,MIA,1.5,home,-1.5,49.5,18,11,away,2020-09-09,sample_data,1,1,1,1,0,0,0
2020,9,GB,BUF,6.0,home,-6.0,39.5,16,27,home,2020-09-09,sample_data,0,1,0,0,0,0,0
2020,9,ATL,CAR,1.5,home,-1.5,44.5,16,17,home,2020-09-09,sample_data,0,1,1,1,0,0,0
2020,9,SEA,CLE,1.0,away,1.0,50.0,29,34,home,2020-09-09,sample_data,0,1,0,0,0,0,0
2020,9,DAL,LAR,3.0,home,-3.0,58.0,24,23,away,2020-09-09,sample_data,1,1,0,1,0,0,0
2020,9,DET,MIN,2.5,away,2.5,38.0,33,20,away,2020-09-09,sample_data,1,1,1,1,0,0,0
2020,9,PHI,WAS,2.0,home,-2.0,35.0,34,32,away,2020-09-09,sample_data,1,1,1,1,0,0,0
2020,9,JAX,IND,3.0,away,3.0,61.5,20,19,away,2020-09-09,sample_data,1,1,1,1,0,0,0
2020,9,TEN,TB,1.5,home,-1.5,39.5,18,6,away,2020-09-09,sample_data,1,1,0,0,0,0,0
2020,9,LAC,CHI,8.5,home,-8.5,35.0,18,24,home,2020-09-09,sample_data,0,1,0,0,0,0,0
2020,10,SEA,BAL,4.0,away,4.0,45.5,19,11,away,2020-09-10,sample_data,1,1,0,0,0,0,0
2020,10,CLE,IND,6.5,home,-6.5,47.0,16,20,home,2020-09-10,sample_data,0,1,0,1,0,0,0
2020,10,LAR,MIA,4.5,home,-4.5,48.0,22,23,home,2020-09-10,sample_data,0,1,0,0,0,0,0
2020,10,PHI,MIN,4.0,home,-4.0,37.0,17,18,home,2020-09-10,sample_data,0,1,0,1,0,0,0
2020,10,NYG,NO,6.5,home,-6.5,40.5,24,28,home,2020-09-10,sample_data,0,1,0,1,0,0,0
2020,10,JAX,GB,3.5,away,3.5,55.0,18,13,away,2020-09-10,sample_data,1,1,0,0,0,0,0
2020,10,CHI,CAR,2.5,home,-2.5,41.0,30,23,away,2020-09-10,sample_data,1,1,0,1,0,0,0
2020,10,LAC,DAL,2.0,home,-2.0,52.5,21,30,home,2020-09-10,sample_data,0,1,0,0,0,0,0
2020,10,CIN,BUF,7.0,home,-7.0,41.0,10,20,home,2020-09-10,sample_data,0,1,0,1,0,0,0
2020,10,HOU,WAS,2.5,away,2.5,45.0,21,27,home,2020-09-10,sample_data,0,1,0,0,0,0,0
2020,10,NE,DEN,3.5,home,-3.5,56.5,26,20,away,2020-09-10,sample_data,1,1,0,1,0,0,0
2020,10,ARI,DET,4.5,home,-4.5,50.5,13,23,home,2020-09-10,sample_data,0,1,0,1,0,0,0
2020,10,NYJ,PIT,6.0,home,-6.0,47.0,26,27,home,2020-09-10,sample_data,0,1,0,1,0,0,0
2020,10,LV,SF,1.5,home,-1.5,40.0,19,27,home,2020-09-10,sample_data,0,1,0,0,0,0,0
2020,10,KC,TEN,3.0,home,-3.0,49.0,31,23,away,2020-09-10,sample_data,1,1,0,1,0,0,0
2020,10,ATL,TB,4.5,home,-4.5,45.5,16,20,home,2020-09-10,sample_data,0,1,1,1,0,0,0
2020,11,CIN,KC,2.0,home,-2.0,46.5,16,25,home,2020-09-11,sample_data,0,1,0,1,0,0,0
2020,11,DET,PHI,2.0,away,2.0,35.0,24,14,away,2020-09-11,sample_data,1,1,0,1,0,0,0
2020,11,ARI,DAL,2.0,home,-2.0,42.5,33,20,away,2020-09-11,sample_data,1,1,0,1,0,0,0
2020,11,JAX,HOU,5.0,home,-5.0,50.5,20,28,home,2020-09-11,sample_data,0,1,1,1,0,0,0
2020,11,CLE,LAR,8.5,home,-8.5,49.5,15,24,home,2020-09-11,sample_data,0,1,0,0,0,0,0
2020,11,CAR,PIT,4.5,home,-4.5,49.0,12,25,home,2020-09-11,sample_data,0,1,0,0,0,0,0
2020,11,ATL,DEN,3.0,home,-3.0,37.0,26,31,home,2020-09-11,sample_data,0,1,0,0,0,0,0
2020,11,BAL,IND,1.5,home,-1.5,48.0,30,34,home,2020-09-11,sample_data,0,1,0,1,0,0,0
2020,11,LV,SEA,6.0,home,-6.0,36.0,15,18,home,2020-09-11,sample_data,0,1,0,0,0,0,0
2020,11,TB,MIA,1.0,away,1.0,52.0,28,21,away,2020-09-11,sample_data,1,1,0,0,0,0,0
2020,11,BUF,CHI,4.5,away,4.5,40.5,32,19,away,2020-09-11,sample_data,1,1,0,0,0,0,0
2020,11,NO,SF,2.0,away,2.0,48.0,24,26,home,2020-09-11,sample_data,0,1,0,1,0,0,0
2020,11,WAS,NYG,3.5,home,-3.5,52.0,19,28,home,2020-09-11,sample_data,0,1,1,1,0,0,0
2020,11,GB,MIN,4.0,away,4.0,48.0,23,19,away,2020-09-11,sample_data,1,1,1,1,0,0,0
2020,11,NE,TEN,5.5,home,-5.5,42.5,18,20,home,2020-09-11,sample_data,0,1,0,1,0,0,0
2020,11,LAC,NYJ,5.5,away,5.5,37.5,28,17,away,2020-09-11,sample_data,1,1,0,1,0,0,0
2020,12,BAL,ARI,0.5,away,0.5,58.5,9,20,home,2020-09-12,sample_data,0,1,0,0,0,0,0
2020,12,PIT,TEN,7.0,home,-7.0,42.5,19,29,home,2020-09-12,sample_data,0,1,0,1,0,0,0
2020,12,IND,CIN,0.5,home,-0.5,47.5,33,24,away,2020-09-12,sample_data,1,1,0,1,0,0,0
2020,12,LV,NYG,1.5,home,-1.5,37.5,33,25,away,2020-09-12,sample_data,1,1,0,0,0,0,0
2020,12,GB,TB,6.5,home,-6.5,53.0,15,20,home,2020-09-12,sample_data,0,1,0,1,0,0,0
2020,12,WAS,CHI,1.0,home,-1.0,42.0,18,6,away,2020-09-12,sample_data,1,1,0,1,0,0,0
2020,12,DAL,BUF,2.0,home,-2.0,45.5,25,31,home,2020-09-12,sample_data,0,1,0,0,0,0,0
2020,12,ATL,MIN,6.5,home,-6.5,39.0,17,22,home,2020-09-12,sample_data,0,1,0,1,0,0,0
2020,12,NYJ,CAR,1.0,away,1.0,35.0,19,11,away,2020-09-12,sample_data,1,1,0,0,0,0,0
2020,12,NE,SEA,4.5,home,-4.5,56.5,17,11,away,2020-09-12,sample_data,1,1,0,0,0,0,0
2020,12,MIA,SF,4.0,home,-4.0,40.5,18,29,home,2020-09-12,sample_data,0,1,0,0,0,0,0
2020,12,HOU,KC,3.5,home,-3.5,40.5,10,21,home,2020-09-12,sample_data,0,1,0,1,0,0,0
2020,12,DEN,DET,5.0,home,-5.0,41.0,34,30,away,2020-09-12,sample_data,1,1,0,0,0,0,0
2020,12,LAR,JAX,9.5,home,-9.5,46.5,5,18,home,2020-09-12,sample_data,0,1,0,0,0,0,0
2020,12,CLE,PHI,3.0,home,-3.0,36.5,26,29,home,2020-09-12,sample_data,0,1,0,0,0,0,0
2020,12,NO,LAC,2.0,home,-2.0,40.5,23,25,home,2020-09-12,sample_data,0,1,0,0,0,0,0
2020,13,SEA,HOU,2.0,away,2.0,45.5,21,33,home,2020-09-13,sample_data,0,1,0,0,0,0,0
2020,13,ARI,TB,3.5,home,-3.5,40.5,32,34,home,2020-09-13,sample_data,0,1,0,1,0,0,0
2020,13,MIA,NE,1.5,home,-1.5,35.0,11,17,home,2020-09-13,sample_data,0,1,1,1,0,0,0
2020,13,CHI,KC,8.5,home,-8.5,42.0,16,18,home,2020-09-13,sample_data,0,1,0,0,0,0,0
2020,13,SF,LAR,1.0,home,-1.0,48.5,14,18,home,2020-09-13,sample_data,0,1,1,1,0,0,0
2020,13,BUF,JAX,1.5,away,1.5,49.5,28,20,away,2020-09-13,sample_data,1,1,0,1,0,0,0
2020,13,BAL,MIN,3.0,home,-3.0,55.5,18,21,home,2020-09-13,sample_data,0,1,0,0,0,0,0
2020,13,CIN,LV,2.5,away,2.5,37.5,18,5,away,2020-09-13,sample_data,1,1,0,1,0,0,0
2020,13,ATL,PHI,2.0,home,-2.0,47.5,12,24,home,2020-09-13,sample_data,0,1,0,1,0,0,0
2020,13,DET,GB,5.5,home,-5.5,43.0,20,31,home,2020-09-13,sample_data,0,1,1,1,0,0,0
2020,13,DEN,NO,5.5,home,-5.5,39.0,15,19,home,2020-09-13,sample_data,0,1,0,0,0,0,0
2020,13,DAL,LAC,2.5,home,-2.5,53.0,21,33,home,2020-09-13,sample_data,0,1,0,0,0,0,0
2020,13,NYG,WAS,3.0,away,3.0,41.0,18,10,away,2020-09-13,sample_data,1,1,1,1,0,0,0
2020,13,CLE,TEN,3.5,home,-3.5,44.5,32,34,home,2020-09-13,sample_data,0,1,0,1,0,0,0
2020,13,NYJ,IND,3.0,home,-3.0,50.5,22,13,away,2020-09-13,sample_data,1,1,0,1,0,0,0
2020,13,CAR,PIT,2.0,home,-2.0,41.0,21,33,home,2020-09-13,sample_data,0,1,0,0,0,0,0
2020,14,WAS,TEN,4.5,home,-4.5,47.5,15,17,home,2020-09-14,sample_data,0,1,0,0,0,0,0
2020,14,ARI,CAR,8.5,home,-8.5,45.0,25,29,home,2020-09-14,sample_data,0,1,0,1,0,0,0
2020,14,TB,MIA,2.5,away,2.5,50.0,27,28,home,2020-09-14,sample_data,0,1,0,0,0,0,0
2020,14,SF,CLE,4.0,home,-4.0,50.0,23,25,home,2020-09-14,sample_data,0,1,0,0,0,0,0
2020,14,DET,PIT,6.0,home,-6.0,42.5,28,32,home,2020-09-14,sample_data,0,1,0,0,0,0,0
2020,14,MIN,NYJ,10.0,home,-10.0,47.5,13,25,home,2020-09-14,sample_data,0,1,0,0,0,0,0
2020,14,LAR,NYG,3.5,home,-3.5,38.5,28,26,away,2020-09-14,sample_data,1,1,0,1,0,0,0
2020,14,KC,BAL,4.5,home,-4.5,35.0,23,26,home,2020-09-14,sample_data,0,1,0,1,0,0,0
2020,14,GB,PHI,3.0,home,-3.0,51.0,21,17,away,2020-09-14,sample_data,1,1,0,1,0,0,0
2020,14,NE,DEN,6.0,home,-6.0,49.0,33,34,home,2020-09-14,sample_data,0,1,0,1,0,0,0
2020,14,LV,ATL,6.5,home,-6.5,44.0,29,31,home,2020-09-14,sample_data,0,1,0,0,0,0,0
2020,14,BUF,SEA,5.0,home,-5.0,51.5,28,25,away,2020-09-14,sample_data,1,1,0,0,0,0,0
2020,14,CIN,JAX,9.5,home,-9.5,40.5,25,32,home,2020-09-14,sample_data,0,1,0,1,0,0,0
2020,14,CHI,NO,2.5,away,2.5,53.0,21,16,away,2020-09-14,sample_data,1,1,0,1,0,0,0
2020,14,HOU,IND,0.0,pick,0.0,43.5,23,14,away,2020-09-14,sample_data,1,1,1,1,0,0,0
2020,15,ATL,TB,0.5,away,0.5,46.0,18,15,away,2020-09-15,sample_data,1,1,1,1,0,1,0
2020,15,MIA,SF,6.5,home,-6.5,41.5,31,20,away,2020-09-15,sample_data,1,1,0,0,0,1,0
2020,15,LAC,PIT,2.5,home,-2.5,50.5,14,26,home,2020-09-15,sample_data,0,1,0,1,0,1,0
2020,15,CLE,LV,7.5,home,-7.5,48.5,22,27,home,2020-09-15,sample_data,0,1,0,1,0,1,0
2020,15,TEN,IND,3.5,home,-3.5,35.0,28,20,away,2020-09-15,sample_data,1,1,1,1,0,1,0
2020,15,NO,DET,4.5,home,-4.5,43.0,9,18,home,2020-09-15,sample_data,0,1,0,1,0,1,0
2020,15,BUF,CAR,5.5,home,-5.5,45.0,13,19,home,2020-09-15,sample_data,0,1,0,0,0,1,0
2020,15,DEN,JAX,0.5,away,0.5,39.0,27,25,away,2020-09-15,sample_data,1,1,0,1,0,1,0
2020,15,HOU,KC,2.0,away,2.0,47.5,28,22,away,2020-09-15,sample_data,1,1,0,1,0,1,0
2020,15,LAR,NYG,0.5,away,0.5,48.0,17,10,away,2020-09-15,sample_data,1,1,0,1,0,1,0
2020,15,BAL,CIN,0.5,away,0.5,56.0,31,29,away,2020-09-15,sample_data,1,1,1,1,0,1,0
2020,15,ARI,PHI,2.5,home,-2.5,48.5,33,21,away,2020-09-15,sample_data,1,1,0,1,0,1,0
2020,15,DAL,WAS,3.0,home,-3.0,43.0,17,14,away,2020-09-15,sample_data,1,1,1,1,0,1,0
2020,15,GB,NE,10.5,home,-10.5,38.5,24,25,home,2020-09-15,sample_data,0,1,0,0,0,1,0
